Nivel	ID	Ano	Classe	Area
Regiao	5	2001	Savan	0.1877168203125
Regiao	6	2001	Savan	0
Regiao	7	2001	Savan	0
Estado	AP	2001	Savan	0.0427896103515625
Estado	PA	2001	Savan	0.2504626484375
Estado	MA	2001	Savan	2.731507244439338
Estado	CE	2001	Savan	0.11937751855468749
Estado	PI	2001	Savan	0.0
Estado	RN	2001	Savan	0.0052751162109375
Estado	PB	2001	Savan	0.0
Estado	PE	2001	Savan	0.0
Estado	AL	2001	Savan	0.0
Estado	SE	2001	Savan	0.0
Estado	BA	2001	Savan	0.05645239453125
Estado	ES	2001	Savan	0.0
Estado	RJ	2001	Savan	0.0
Estado	SP	2001	Savan	0.0
Estado	PR	2001	Savan	0.0
Estado	SC	2001	Savan	0.0
Nacional	BR	2001	Canav	0.28222030
Regiao	1	2001	Canav	0
Regiao	2	2001	Canav	0
Regiao	3	2001	Canav	0
Regiao	4	2001	Canav	0
Regiao	5	2001	Canav	0.28222030468750003
Regiao	6	2001	Canav	0
Regiao	7	2001	Canav	0
Estado	AP	2001	Canav	0.0
Estado	PA	2001	Canav	0.0
Estado	MA	2001	Canav	0.0
Estado	CE	2001	Canav	0.0
Estado	PI	2001	Canav	0.0
Estado	RN	2001	Canav	0.0
Estado	PB	2001	Canav	0.0
Estado	PE	2001	Canav	0.0098235166015625
Estado	AL	2001	Canav	0.0
Estado	SE	2001	Canav	0.0
Estado	BA	2001	Canav	0.0
Estado	ES	2001	Canav	0.0
Estado	RJ	2001	Canav	0.0
Estado	SP	2001	Canav	0.0
Estado	PR	2001	Canav	0.0
Estado	SC	2001	Canav	0.0
Nacional	BR	2001	Flore	85.85730
Regiao	1	2001	Flore	23.59078547509193
Regiao	2	2001	Flore	12.428034979882794
Regiao	3	2001	Flore	28.48804205273438
Regiao	4	2001	Flore	11.128960453125
Regiao	5	2001	Flore	6.006823398437501
Regiao	6	2001	Flore	4.14823475
Regiao	7	2001	Flore	0.066414265625
Estado	AP	2001	Flore	30.50047100514326
Estado	PA	2001	Flore	21.58731332077206
Estado	MA	2001	Flore	21.060852421920956
Estado	CE	2001	Flore	0.8950775996093752
Estado	PI	2001	Flore	0.0760180078125
Estado	RN	2001	Flore	0.3801505830078125
Estado	PB	2001	Flore	0.2570918022460937
Estado	PE	2001	Flore	1.6909685605468743
Estado	AL	2001	Flore	0.9055915615234373
Estado	SE	2001	Flore	1.307956666957721
Estado	BA	2001	Flore	4.887479860523898
Estado	ES	2001	Flore	0.4186601948242188
Estado	RJ	2001	Flore	0.0043591513671875
Estado	SP	2001	Flore	0.0
Estado	PR	2001	Flore	0.01982304296875
Estado	SC	2001	Flore	0.0383041328125
Nacional	BR	2001	VeNFl	1.0955062
Regiao	1	2001	VeNFl	0
Regiao	2	2001	VeNFl	0
Regiao	3	2001	VeNFl	0
Regiao	4	2001	VeNFl	0
Regiao	5	2001	VeNFl	0
Regiao	6	2001	VeNFl	0.16545596875
Regiao	7	2001	VeNFl	0.9300501953124999
Estado	AP	2001	VeNFl	0.0
Estado	PA	2001	VeNFl	0.0
Estado	MA	2001	VeNFl	0.0
Estado	CE	2001	VeNFl	0.0
Estado	PI	2001	VeNFl	0.0
Estado	RN	2001	VeNFl	0.0
Estado	PB	2001	VeNFl	0.0
Estado	PE	2001	VeNFl	0.0
Estado	AL	2001	VeNFl	0.0
Estado	SE	2001	VeNFl	0.0
Estado	BA	2001	VeNFl	0.11113894921875
Estado	ES	2001	VeNFl	0.0
Estado	RJ	2001	VeNFl	0.0
Estado	SP	2001	VeNFl	0.145907203125
Estado	PR	2001	VeNFl	0.47551252929687504
Estado	SC	2001	VeNFl	0.0
Nacional	BR	2001	PDA	0.8217681
Regiao	1	2001	PDA	0
Regiao	2	2001	PDA	0
Regiao	3	2001	PDA	0.2508834638671875
Regiao	4	2001	PDA	0.40709837890625
Regiao	5	2001	PDA	0
Regiao	6	2001	PDA	0.163786296875
